symbol,companyName,sector,marketCap,revenueGrowthYoY,earningsGrowthYoY,profitMargin,roe,debtToEquityRatio,qualityScore,finalScore
"CTRA","Coterra Energy Inc.","Energy","19150218490","-3.98","-31.02","20.54","8.54","0.29","","84"
"ICE","Intercontinental Exchange, Inc.","Financial Services","104319624360","18.76","16.3","23.42","9.94","0.75","","84"
"PM","Philip Morris International Inc.","Consumer Defensive","276328995600","7.69","-9.72","18.57","-59.86","-3.89","","80"
"EXPE","Expedia Group, Inc.","Consumer Cyclical","21162741880","6.64","54.83","9.01","79.25","4.19","","84"
"EXPD","Expeditors International of Washington, Inc.","Industrials","16157125040","13.98","7.6","7.64","36.44","0.26","","84"
"DOC","Healthpeak Properties, Inc.","Real Estate","12421808160","23.82","-20.54","9","2.89","1.07","","84"
"J","Jacobs Engineering Group Inc.","Industrials","15915612300","5.99","21.08","7.01","17.72","0.6","","84"
"MA","Mastercard Incorporated","Financial Services","508862102430","12.23","15","45.71","198.52","2.81","","82"
"AMT","American Tower Corporation","Real Estate","105082936860","-9.13","52.03","22.27","66.67","13","","79"
"AIZ","Assurant, Inc.","Financial Services","10021816618","6.7","18.32","6.4","14.89","0.41","","84"
"AKAM","Akamai Technologies, Inc.","Technology","11331368960","4.7","-7.8","12.65","10.35","0.95","","84"
"HST","Host Hotels & Resorts, Inc.","Real Estate","11009241180","7.02","-5.81","12.26","10.55","0.85","","84"
"CHRW","C.H. Robinson Worldwide, Inc.","Industrials","11672444610","0.73","43.23","2.63","27.04","1.01","","84"
"RL","Ralph Lauren Corporation","Consumer Cyclical","16419202957","6.75","14.95","10.49","28.7","1.02","","84"
"AVB","AvalonBay Communities, Inc.","Real Estate","28940567040","4.76","16.49","37.13","9.06","0.69","","84"
"FIS","Fidelity National Information Services, Inc.","Technology","43266278250","3.12","121.79","14.32","9.24","0.74","","84"
"CTSH","Cognizant Technology Solutions Corporation","Technology","39652254480","1.98","5.36","11.35","15.55","0.1","","84"
"MCHP","Microchip Technology Incorporated","Technology","38664192000","-42.35","-100.03","-0.01","-0.01","0.8","","82"
"CBRE","CBRE Group, Inc.","Real Estate","42217630100","11.95","-1.83","2.71","11.51","0.68","","82"
"CME","CME Group Inc.","Financial Services","99249249520","9.88","9.29","57.52","13.31","0.13","","82"
"JNPR","Juniper Networks, Inc.","Technology","13358600850","-8.82","-7.19","5.67","6.02","0.37","","84"
"GOOG","Alphabet Inc.","Communication Services","2141224362538","13.87","35.67","28.6","30.8","0.08","","84"
"KIM","Kimco Realty Corporation","Real Estate","14328185280","14.22","-37.22","20.17","3.86","0.81","","84"
"BXP","Boston Properties, Inc.","Real Estate","10785099000","4.1","-92.5","0.42","0.26","3.14","","84"
"VRSN","VeriSign, Inc.","Technology","27144612000","4.31","-3.9","50.45","-72.04","-1.65","","82"
"AMZN","Amazon.com, Inc.","Consumer Cyclical","2340491544000","10.99","94.73","9.29","20.72","0.46","","84"
"EL","The Estée Lauder Companies Inc.","Consumer Defensive","30648382671","-1.9","-61.23","2.5","7.34","1.85","","82"
"AMP","Ameriprise Financial, Inc.","Financial Services","51286946220","11.13","33.06","19.7","65.05","1.05","","84"
"LEN","Lennar Corporation","Consumer Cyclical","30284071905","3.53","-0.15","11.1","14.11","0.15","","84"
"DHI","D.R. Horton, Inc.","Consumer Cyclical","41131535900","3.78","0.23","12.92","18.79","0.24","","84"
"PSA","Public Storage","Real Estate","52294226790","3.94","-3.55","44.13","21.33","0.96","","84"
"TPR","Tapestry, Inc.","Consumer Cyclical","18056568600","0.15","-12.82","12.23","28.17","3.03","","84"
"VTRS","Viatris Inc.","Healthcare","10774382400","-4.46","-1259.41","-4.3","-3.4","0.77","","82"
"STZ","Constellation Brands, Inc.","Consumer Defensive","29439864420","2.48","-104.71","-0.8","-1.18","1.76","","84"
"GILD","Gilead Sciences, Inc.","Healthcare","138984298900","6.04","-91.53","1.67","2.48","1.38","","84"
"MTB","M&T Bank Corporation","Financial Services","31701910000","7.18","-5.58","19.31","8.92","0.47","","84"
"LH","Laboratory Corporation of America Holdings","Healthcare","22110264236","6.97","78.47","5.73","9.26","0.9","","84"
"TMO","Thermo Fisher Scientific Inc.","Healthcare","159102396180","0.05","5.67","14.77","12.78","0.63","","84"
"TSN","Tyson Foods, Inc.","Consumer Defensive","20021226118","0.81","223.46","1.5","4.35","0.53","","80"
"PLD","Prologis, Inc.","Real Estate","98898353080","2.22","21.98","45.5","6.92","0.58","","84"
"GEN","Gen Digital Inc.","Technology","18482854000","3.23","4.38","16.34","28.34","3.66","","84"
"DGX","Quest Diagnostics Incorporated","Healthcare","20019504550","6.7","1.99","8.82","12.85","1.05","","84"
"ELV","Elevance Health Inc.","Healthcare","89416038766","3.19","-0.12","3.38","14.47","0.76","","84"
"BIIB","Biogen Inc.","Healthcare","19058896960","-1.62","40.57","16.87","9.76","0.4","","84"
"CMCSA","Comcast Corporation","Communication Services","135302365800","1.78","5.22","13.09","18.92","1.16","","84"
"TRV","The Travelers Companies, Inc.","Financial Services","60493923000","12.23","67.13","10.77","17.94","0.29","","84"
"MKC","McCormick & Company, Incorporated","Consumer Defensive","20703520807","0.92","15.85","11.73","14.9","0.85","","84"
"VLO","Valero Energy Corporation","Energy","43225560060","-10.28","-68.65","2.13","11.3","0.47","","84"
"STT","State Street Corporation","Financial Services","30503066720","19.64","38.22","12.23","10.61","1.31","","82"
"PFG","Principal Financial Group, Inc.","Financial Services","18121358530","18.02","152.09","9.74","14.17","0.37","","84"
"EBAY","eBay Inc.","Consumer Cyclical","35082100000","1.69","-28.62","19.21","38.29","1.52","","84"
"GS","The Goldman Sachs Group, Inc.","Financial Services","216770892860","17","67.64","11.25","11.7","5.06","","82"
"SPG","Simon Property Group, Inc.","Real Estate","53620520590","5.39","3.84","39.75","80.59","8.42","","82"
"EA","Electronic Arts Inc.","Technology","39886839960","-1.31","-11.94","15.02","17.55","0.31","","84"
"EQR","Equity Residential","Real Estate","25555033440","3.69","23.99","34.76","9.38","0.76","","84"
"PRU","Prudential Financial, Inc.","Financial Services","38586000000","30.19","9.61","3.86","9.78","0.77","","84"
"UPS","United Parcel Service, Inc.","Industrials","88464962718","0.12","-13.8","6.35","34.59","1.53","","84"
"NVDA","NVIDIA Corporation","Technology","3740520000000","114.2","144.89","55.85","91.87","0.13","","80"
"WAT","Waters Corporation","Healthcare","21247129064","0.07","-0.69","21.56","34.88","0.93","","84"
"PPL","PPL Corporation","Utilities","25127583360","1.8","20","10.49","6.31","1.19","","84"
"FI","Fiserv, Inc.","Technology","95739663120","7.14","2.05","15.31","11.57","0.92","","84"
"MET","MetLife, Inc.","Financial Services","54435554820","5.26","180.48","6.33","16.13","0.68","","84"
"CTAS","Cintas Corporation","Industrials","90573461970","8.86","16.59","16.38","36.41","0.62","","84"
"SYK","Stryker Corporation","Healthcare","151620142100","10.23","-5.43","13.25","14.51","0.66","","84"
"COR","Cencora, Inc.","Healthcare","57241746590","12.12","-13.53","0.51","233.63","6.79","","77"
"TXN","Texas Instruments Incorporated","Technology","191187932400","-10.72","-26.28","30.68","28.39","0.8","","84"
"ZBH","Zimmer Biomet Holdings, Inc.","Healthcare","18609582880","3.85","-11.74","11.77","7.25","0.5","","84"
"INTU","Intuit Inc.","Technology","217469870670","13.34","24.29","18.19","16.07","0.36","","84"
"EOG","EOG Resources, Inc.","Energy","66143926530","0.45","-15.68","27.39","21.82","0.17","","84"
"NI","NiSource Inc.","Utilities","18856362180","-0.91","6.45","13.94","8.76","1.61","","84"
"SBUX","Starbucks Corporation","Consumer Cyclical","107867088000","0.56","-8.82","10.4","-50.49","-3.46","","82"
"DVN","Devon Energy Corporation","Energy","20964565000","4.47","-22.84","18.14","19.94","0.63","","84"
"ADI","Analog Devices, Inc.","Technology","119417118720","-23.39","-50.66","17.35","4.65","0.22","","84"
"QCOM","QUALCOMM Incorporated","Technology","175021200000","8.77","40.24","26.03","38.6","0.56","","84"
"ROK","Rockwell Automation, Inc.","Industrials","38166764760","-8.76","-31.35","11.53","27.23","1.17","","84"
"VMC","Vulcan Materials Company","Basic Materials","34963965680","-4.68","-2.28","12.29","11.23","0.72","","84"
"USB","U.S. Bancorp","Financial Services","72432814700","5.14","16.03","14.75","10.75","1.26","","84"
"A","Agilent Technologies, Inc.","Healthcare","34215629250","-4.73","3.95","19.8","21.85","0.57","","84"
"PNW","Pinnacle West Capital Corporation","Utilities","10846205160","9.13","21.38","11.88","9.01","1.64","","84"
"BBY","Best Buy Co., Inc.","Consumer Cyclical","14931665550","-4.43","-25.3","2.23","33.01","1.44","","84"
"NTAP","NetApp, Inc.","Technology","21377048540","4.85","20.28","18.05","114.04","3.36","","82"
"AFL","Aflac Incorporated","Financial Services","57189428100","1.52","16.83","28.46","20.86","0.29","","84"
"CCL","Carnival Corporation & plc","Consumer Cyclical","37213110746","15.88","2689.19","7.66","20.71","3.12","","79"
"AES","The AES Corporation","Utilities","7667410710","-3.08","574.3","13.67","46.08","7.96","","77"
"DHR","Danaher Corporation","Healthcare","143921237000","-0.06","-18.16","16.33","7.87","0.32","","84"
"WM","Waste Management, Inc.","Industrials","92070950400","8.01","19.18","12.45","33.28","2.9","","84"
"PAYX","Paychex, Inc.","Industrials","53099357220","5.56","-1.96","29.74","40.15","1.21","","84"
"RF","Regions Financial Corporation","Financial Services","21727138100","2.4","-8.73","20.2","10.59","0.36","","84"
"MCK","McKesson Corporation","Healthcare","91049006880","16.22","9.76","0.92","-158.87","-3.56","","80"
"MAR","Marriott International, Inc.","Consumer Cyclical","76162260720","5.85","-22.96","9.46","-79.38","-5.09","","80"
"MCO","Moody's Corporation","Financial Services","90396152000","19.81","28.06","29.03","57.73","2.17","","84"
"COF","Capital One Financial Corporation","Financial Services","137744894840","46.62","-2.8","8.81","7.81","0.75","","82"
"OMC","Omnicom Group Inc.","Communication Services","14404897470","6.79","6.41","9.44","35.31","1.64","","84"
"NTRS","Northern Trust Corporation","Financial Services","24899046610","31.02","83.43","12.79","15.88","1.25","","82"
"FE","FirstEnergy Corp.","Utilities","23305559280","4.68","-11.25","7.26","7.85","1.93","","84"
"CINF","Cincinnati Financial Corporation","Financial Services","23348691520","13.22","24.36","20.22","16.45","0.06","","84"
"TFC","Truist Financial Corporation","Financial Services","57881668000","-19.02","541.61","19.87","7.57","0.98","","79"
"BEN","Franklin Resources, Inc.","Financial Services","12791181116","8.01","-47.35","5.48","3.72","1.05","","84"
"YUM","Yum! Brands, Inc.","Consumer Cyclical","41797597050","6.68","-6.95","19.68","-19.43","-1.61","","84"
"KLAC","KLA Corporation","Technology","118864822850","-6.51","-18.46","28.15","82","2.02","","84"
"APA","APA Corporation","Energy","6834404300","17.61","-71.84","8.26","15.23","1.17","","84"
"HBAN","Huntington Bancshares Incorporated","Financial Services","25027995800","10.96","-0.56","16.22","9.83","0.84","","84"
"PGR","The Progressive Corporation","Financial Services","154939003200","21.36","117.27","11.26","33.14","0.27","","84"
"SCHW","The Charles Schwab Corporation","Financial Services","165653154900","38.02","17.27","22.85","12.28","0.93","","84"
"CAH","Cardinal Health, Inc.","Healthcare","39238498800","10.64","226.44","0.38","-26.52","-1.58","","82"
"ADBE","Adobe Inc.","Technology","167113020000","10.8","2.43","25.85","39.42","0.43","","84"
"EFX","Equifax Inc.","Industrials","32781084060","7.9","10.78","10.63","12.59","1.04","","84"
"AZO","AutoZone, Inc.","Consumer Cyclical","62207176533","5.92","5.3","14.4","-56.06","-2.6","","82"
"AON","Aon plc","Financial Services","77075464200","17.36","3.51","16.91","43.36","2.92","","84"
"FITB","Fifth Third Bancorp","Financial Services","28328360480","5.62","-1.49","17.73","11.78","0.97","","84"
"DRI","Darden Restaurants, Inc.","Consumer Cyclical","25698909600","6.03","2.14","8.69","45.41","2.57","","84"
"L","Loews Corporation","Financial Services","19359227040","9.96","-1.39","8.2","8.29","0.52","","84"
"MU","Micron Technology, Inc.","Technology","135103037300","61.59","113.34","3.1","1.72","0.31","","82"
"ALL","The Allstate Corporation","Financial Services","53000474380","12.31","2582.45","7.28","21.77","0.38","","79"
"BSX","Boston Scientific Corporation","Healthcare","155016771000","17.61","16.38","11.07","8.52","0.51","","84"
"PARA","Paramount Global","Communication Services","9333830858","-1.48","-918.09","-21.19","-37.93","0.95","","80"
"AMAT","Applied Materials, Inc.","Technology","147467032480","2.49","4.68","26.41","37.77","0.33","","84"
"GLW","Corning Incorporated","Technology","45041809890","4.21","-12.91","3.86","4.74","0.76","","84"
"BK","The Bank of New York Mellon Corporation","Financial Services","64854092100","5.58","37.86","24.81","10.96","1.1","","84"
"MSFT","Microsoft Corporation","Technology","3657181307000","15.67","21.8","35.96","32.83","0.25","","84"
"UNH","UnitedHealth Group Incorporated","Healthcare","295854639600","8.91","-35.64","3.6","15.55","0.83","","84"
"LUV","Southwest Airlines Co.","Industrials","19039223060","5.34","","1.69","4.49","0.78","","82"
"KEY","KeyCorp","Financial Services","19584447800","-11.48","-116.65","-1.78","-0.89","0.78","","84"
"MS","Morgan Stanley","Financial Services","226321422400","16.83","47.35","12.98","12.81","3.45","","84"
"COST","Costco Wholesale Corporation","Consumer Defensive","437250582920","5.02","17.09","2.9","31.19","0.35","","84"
"IPG","The Interpublic Group of Companies, Inc.","Communication Services","9291440550","-1.81","-37.23","6.45","18.16","1.12","","84"
"LIN","Linde plc","Basic Materials","224417667000","0.46","5.9","19.89","17.23","0.59","","84"
"CSCO","Cisco Systems, Inc.","Technology","273636000000","-5.61","-18.18","19.18","22.7","0.68","","84"
"EMN","Eastman Chemical Company","Basic Materials","9028972000","1.87","1.23","9.65","15.66","0.87","","84"
"AMGN","Amgen Inc.","Healthcare","156214347120","18.57","-39.11","12.24","69.59","10.23","","79"
"AEE","Ameren Corporation","Utilities","26667450180","1.64","2.6","15.51","9.76","1.55","","84"
"ADSK","Autodesk, Inc.","Technology","66680238150","12.7","22.74","18.14","42.43","0.98","","84"
"K","Kellanova","Consumer Defensive","27706548540","-2.84","41.22","10.53","35.58","1.68","","84"
"ECL","Ecolab Inc.","Basic Materials","77288478930","2.75","53.93","13.42","24.12","0.95","","84"
"ORCL","Oracle Corporation","Technology","615021416800","8.38","18.88","21.68","59.34","4.96","","82"
"NKE","NIKE, Inc.","Consumer Cyclical","108352484701","-9.84","-43.53","6.95","24.36","0.83","","84"
"PNC","The PNC Financial Services Group, Inc.","Financial Services","76154558840","5.62","5.58","17.48","10.82","1.13","","84"
"GL","Globe Life Inc.","Financial Services","10309608210","6.07","10.3","18.53","20.18","0.52","","84"
"C","Citigroup Inc.","Financial Services","161129067100","9.86","37.43","7.43","6.08","2.83","","84"
"MMC","Marsh & McLennan Companies, Inc.","Financial Services","107330940240","7.57","8.09","16.6","30.43","1.64","","84"
"PH","Parker-Hannifin Corporation","Industrials","89863711840","4.53","36.55","14.27","23.56","0.87","","84"
"ITW","Illinois Tool Works Inc.","Industrials","74770670000","-1.3","17.96","21.94","105.16","2.44","","82"
"TJX","The TJX Companies, Inc.","Consumer Cyclical","139630999200","3.95","8.72","8.63","57.95","1.52","","84"
"SYY","Sysco Corporation","Consumer Defensive","37500414720","3.3","10.45","2.48","105.11","6.96","","80"
"HD","The Home Depot, Inc.","Consumer Cyclical","371267332480","4.48","-2.23","9.28","222.98","9.38","","77"
"MDT","Medtronic plc","Healthcare","113711825000","3.62","26.82","13.9","9.71","0.59","","84"
"CNP","CenterPoint Energy, Inc.","Utilities","23837626560","-0.61","11.12","11.79","9.55","1.97","","82"
"DOV","Dover Corporation","Industrials","25523280640","-8.2","155.21","34.82","38.79","0.42","","84"
"AVY","Avery Dennison Corporation","Industrials","14156037648","4.68","40.14","8.05","30.4","1.36","","84"
"APD","Air Products and Chemicals, Inc.","Basic Materials","63529635680","-3.96","66.43","31.64","22.47","0.88","","84"
"HES","Hess Corporation","Energy","43653601650","22.69","100.36","21.47","24.69","0.84","","82"
"BALL","Ball Corporation","Consumer Cyclical","16056953840","-15.92","466.9","33.98","68.37","0.97","","82"
"PHM","PulteGroup, Inc.","Consumer Cyclical","22034944380","11.74","18.48","17.18","25.44","0.19","","84"
"LOW","Lowe's Companies, Inc.","Consumer Cyclical","128138544320","-3.13","-9.95","8.31","-48.89","-2.79","","84"
"T","AT&T Inc.","Communication Services","207808928000","-0.08","-23.97","8.95","10.49","1.35","","84"
"HAS","Hasbro, Inc.","Consumer Cyclical","10788531710","-17.34","125.89","9.32","33.31","2.95","","84"
"VZ","Verizon Communications Inc.","Communication Services","184166236800","0.61","50.73","12.99","17.64","1.7","","84"
"NUE","Nucor Corporation","Basic Materials","30945882500","-11.46","-55.2","6.6","9.99","0.34","","84"
"RVTY","Revvity, Inc.","Healthcare","11672666100","0.16","-60.99","9.81","3.53","0.43","","82"
"WMT","Walmart Inc.","Consumer Defensive","783996460800","5.07","25.3","2.85","21.36","0.66","","84"
"ADP","Automatic Data Processing, Inc.","Industrials","125888899990","6.61","9.96","19.54","82.51","0.81","","84"
"FDX","FedEx Corporation","Industrials","56145233670","0.27","-5.52","4.65","14.58","1.33","","84"
"AAPL","Apple Inc.","Technology","3103957956000","2.02","-3.36","23.97","164.59","2.09","","82"
"CAG","Conagra Brands, Inc.","Consumer Defensive","10048470100","-1.84","-49.21","2.88","4.11","1.02","","84"
"BF-B","Brown-Forman Corporation","Consumer Defensive","13287231073","-4.86","-15.14","21.86","21.76","0.68","","84"
"SWK","Stanley Black & Decker, Inc.","Industrials","10893342330","-2.63","194.78","1.92","3.38","0.71","","82"
"SNA","Snap-on Incorporated","Industrials","16621217260","-7.85","3.24","22.18","19.35","0.24","","84"
"GWW","W.W. Grainger, Inc.","Industrials","50543003104","4.19","4.37","11.12","56.85","0.95","","84"
"MAS","Masco Corporation","Industrials","14154208200","-1.74","-9.47","10.5","-293.57","-11.48","","80"
"AIG","American International Group, Inc.","Financial Services","49489457100","-42.28","-138.54","-5.15","-3.3","0.21","","82"
"PCAR","PACCAR Inc","Industrials","51550973702","-4.17","-9.54","12.36","23.77","0.91","","84"
"CI","Cigna Corporation","Healthcare","89329947436","25.21","-33.5","1.41","8.37","0.78","","84"
"BAC","Bank of America Corporation","Financial Services","362660022000","11.94","2.33","14.1","9.18","2.23","","84"
"TGT","Target Corporation","Consumer Defensive","47185909100","-0.79","-1.14","3.84","27.89","1.36","","84"
"TXT","Textron Inc.","Industrials","14620048220","0.14","-10.53","6.01","11.44","0.5","","84"
"WY","Weyerhaeuser Company","Real Estate","19031163520","-7.17","-52.8","5.56","4.07","0.53","","84"
"INTC","Intel Corporation","Technology","99671700000","-2.08","-1210.48","-35.32","-18.89","0.5","","80"
"WBA","Walgreens Boots Alliance, Inc.","Healthcare","9945295890","6.17","-180.39","-5.85","-82.68","3.15","","78"
"AXP","American Express Company","Financial Services","225960970170","10.15","20.96","13.65","33.47","1.69","","84"
"DUK","Duke Energy Corporation","Utilities","92392539590","4.46","59.24","14.9","9.03","1.7","","84"
"TAP","Molson Coors Beverage Company","Consumer Defensive","9946593715","-0.64","18.28","9.65","8.57","0.47","","84"
"DIS","The Walt Disney Company","Communication Services","222004147500","2.77","111.21","5.44","4.94","0.48","","84"
"NEE","NextEra Energy, Inc.","Utilities","150403507800","-11.95","-4.98","28.06","13.86","1.64","","84"
"IFF","International Flavors & Fragrances Inc.","Basic Materials","19207271100","0.04","109.47","2.12","1.75","0.69","","84"
"JPM","JPMorgan Chase & Co.","Financial Services","807075526900","14.61","18","21.59","16.96","2.18","","82"
"WMB","The Williams Companies, Inc.","Energy","71697707200","-3.7","-30.01","21.18","17.89","2.17","","84"
"GPC","Genuine Parts Company","Consumer Cyclical","17395938600","1.71","-31.33","3.85","20.84","1.32","","84"
"HPQ","HP Inc.","Technology","23951461500","-0.3","-14.96","5.18","-209.75","-8.24","","80"
"WFC","Wells Fargo & Company","Financial Services","265183128200","8.72","3.03","15.73","11.01","1.57","","84"
"EMR","Emerson Electric Co.","Industrials","76224375000","15.34","-85.11","11.25","9.1","0.38","","82"
"CMI","Cummins Inc.","Industrials","45406803100","0.11","436.87","11.57","38.42","0.74","","82"
"BAX","Baxter International Inc.","Healthcare","16026455219","2.66","-124.44","-6.1","-9.32","1.93","","84"
"MCD","McDonald's Corporation","Consumer Cyclical","212715167170","1.67","-2.9","31.72","-216.62","-13.68","","80"
"NEM","Newmont Corporation","Basic Materials","65477790000","57.1","234.24","18.04","11.12","0.3","","78"
"LLY","Eli Lilly and Company","Healthcare","735348362400","32","102.08","23.51","74.62","2.37","","84"
"SHW","The Sherwin-Williams Company","Basic Materials","89038535300","0.2","12.25","11.61","66.19","2.94","","84"
"BDX","Becton, Dickinson and Company","Healthcare","50921465690","4.16","14.89","8.45","6.59","0.78","","84"
"CLX","The Clorox Company","Consumer Defensive","15226675620","-4.01","87.92","3.95","85.37","8.85","","82"
"JNJ","Johnson & Johnson","Healthcare","375154434400","4.3","-59.99","15.84","19.68","0.51","","84"
"ABT","Abbott Laboratories","Healthcare","237070598400","4.59","134.18","31.95","28.12","0.32","","84"
"ADM","Archer-Daniels-Midland Company","Consumer Defensive","26160502500","-8.95","-48.32","2.1","8.12","0.52","","84"
"CAT","Caterpillar Inc.","Industrials","183855539800","-3.36","4.42","16.65","55.37","1.97","","84"
"BMY","Bristol-Myers Squibb Company","Healthcare","96686650800","7.32","-211.5","-18.53","-54.78","3.13","","80"
"AEP","American Electric Power Company, Inc.","Utilities","55764616050","3.89","34.37","15.05","11.01","1.7","","82"
"CL","Colgate-Palmolive Company","Consumer Defensive","74591056800","3.31","25.61","14.37","1362.74","40.15","","74"
"CPB","Campbell Soup Company","Consumer Defensive","9447739193","2.98","-33.92","5.88","14.94","1.99","","84"
"COP","ConocoPhillips","Energy","116129095900","-5.39","-15.62","16.89","14.27","0.38","","84"
"CMS","CMS Energy Corporation","Utilities","20977566120","0.71","13.08","13.35","12.19","2.01","","82"
"BA","The Boeing Company","Industrials","158182708950","-14.5","-431.82","-17.77","302.38","-13.87","","73"
"CVS","CVS Health Corporation","Healthcare","88020091600","4.2","-44.7","1.24","6.11","1.1","","84"
"CSX","CSX Corporation","Industrials","62875068500","-0.8","-6.59","23.87","27.76","1.52","","84"
"DTE","DTE Energy Company","Utilities","27481343880","-2.26","0.5","11.27","12","1.99","","84"
"ED","Consolidated Edison, Inc.","Utilities","36310630880","4.04","-27.75","11.93","8.29","1.27","","84"
"EIX","Edison International","Utilities","20346320320","7.72","9.88","8.78","9.93","2.43","","84"
"ETR","Entergy Corporation","Utilities","35551778220","-2.2","-55.08","8.93","7.04","1.92","","82"
"ETN","Eaton Corporation plc","Industrials","138927152000","7.25","17.9","15.25","20.52","0.53","","84"
"DE","Deere & Company","Industrials","137677613720","-16.15","-30.16","14.05","31.09","2.87","","84"
"CVX","Chevron Corporation","Energy","254221992300","-1.78","-17.35","9.13","11.59","0.16","","84"
"EXC","Exelon Corporation","Utilities","43824131400","5.99","5.67","10.68","9.14","1.73","","84"
"GD","General Dynamics Corporation","Industrials","79010414480","12.88","14.09","7.93","17.14","0.48","","84"
"F","Ford Motor Company","Consumer Cyclical","44329695000","5","35.24","3.18","13.11","3.59","","84"
"GE","General Electric Company","Industrials","265552437800","-43.05","-30.85","16.94","33.9","1","","82"
"GIS","General Mills, Inc.","Consumer Defensive","29126897190","-1.87","-8.49","11.72","24.84","1.62","","84"
"HAL","Halliburton Company","Energy","18234555150","-0.32","-5.19","10.9","23.81","0.82","","84"
"HIG","The Hartford Financial Services Group, Inc.","Financial Services","35967439800","7.57","24.24","11.79","18.92","0.27","","84"
"IBM","International Business Machines Corporation","Technology","270640406400","1.44","-19.71","9.6","22.06","2.14","","84"
"IP","International Paper Company","Consumer Cyclical","26104753900","-1.57","93.4","2.99","6.82","0.72","","84"
"HON","Honeywell International Inc.","Industrials","153453419910","5.01","0.83","14.82","30.64","1.73","","84"
"HSY","The Hershey Company","Consumer Defensive","35619818558","0.33","19.31","19.83","47.11","1.16","","84"
"KO","The Coca-Cola Company","Consumer Defensive","308487030900","2.86","-0.77","22.59","42.77","1.79","","84"
"MRK","Merck & Co., Inc.","Healthcare","205427364300","6.74","4589.59","26.68","36.96","0.8","","79"
"NSC","Norfolk Southern Corporation","Industrials","59151734340","-0.27","43.51","21.63","18.33","1.22","","84"
"LMT","Lockheed Martin Corporation","Industrials","109167878240","5.14","-22.89","7.51","84.26","3.2","","84"
"MSI","Motorola Solutions, Inc.","Technology","71047795400","8.41","-7.72","14.58","92.6","3.85","","82"
"KR","The Kroger Co.","Consumer Defensive","47508611550","-1.94","23.15","1.81","32.17","3.03","","84"
"MO","Altria Group, Inc.","Consumer Defensive","97933923000","-0.28","38.55","55.1","-503.31","-11.14","","80"
"NOC","Northrop Grumman Corporation","Industrials","72472065840","4.44","103.02","10.17","27.3","1.08","","84"
"KMB","Kimberly-Clark Corporation","Consumer Defensive","43670303760","-1.83","44.27","12.69","302.98","9.02","","77"
"MMM","3M Company","Industrials","82777619610","-24.8","159.66","16.98","108.62","3.56","","82"
"OXY","Occidental Petroleum Corporation","Energy","42179940380","-5.42","-34.92","11.43","8.95","0.79","","84"
"PEG","Public Service Enterprise Group Incorporated","Utilities","41351964260","-8.43","-30.86","17.22","11","1.42","","82"
"PG","The Procter & Gamble Company","Consumer Defensive","377986738800","2.48","1.54","17.7","29.59","0.66","","84"
"RTX","RTX Corporation","Industrials","192630630500","17.15","49.42","5.91","7.94","0.71","","84"
"PPG","PPG Industries, Inc.","Basic Materials","26425070000","-13.16","-12.13","7.04","16.45","0.94","","84"
"PEP","PepsiCo, Inc.","Consumer Defensive","185452280800","0.42","5.55","10.43","53.09","2.49","","84"
"SLB","Schlumberger Limited","Energy","47877632000","9.52","6.14","12.29","21.11","0.57","","84"
"PFE","Pfizer Inc.","Healthcare","142361664800","8.77","279","12.62","9.11","0.72","","82"
"SO","The Southern Company","Utilities","101443238000","5.83","10.69","16.47","13.25","2","","84"
"SPGI","S&P Global Inc.","Financial Services","162342444000","13.69","46.69","27.11","11.62","0.36","","84"
"UNP","Union Pacific Corporation","Industrials","140747421320","0.54","5.77","27.82","39.95","1.92","","84"
"XOM","Exxon Mobil Corporation","Energy","470785073600","1.36","-6.47","9.93","12.45","0.25","","84"
"XEL","Xcel Energy Inc.","Utilities","39629248310","-5.39","9.32","14.4","9.92","1.55","","82"